sample_index,avg_pixel_intensity,label_byte_0,label_byte_1,label_byte_2,label_byte_3,label_byte_4,label_byte_5,label_byte_6,label_byte_7,label_byte_8,label_byte_9,label_byte_10,label_byte_11,label_byte_12,label_byte_13,label_byte_14,label_byte_15
50,186.4013671875,3,2,1,1,2,2,1,1,3,2,3,2,3,3,3,3
51,114.607666015625,1,1,2,2,1,1,3,3,3,2,3,3,3,3,3,3
52,207.302490234375,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3
53,236.449462890625,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3
54,196.998291015625,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
55,85.401611328125,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
56,84.483154296875,3,3,1,1,2,3,1,1,3,3,3,3,3,3,3,3
57,87.532958984375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
58,102.609619140625,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
59,178.4208984375,1,1,2,2,1,1,2,3,3,3,3,2,3,3,3,3
60,190.6337890625,1,1,2,3,1,1,2,3,2,3,1,1,3,3,1,1
61,198.1962890625,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
62,172.017578125,2,2,3,3,3,2,3,3,1,1,3,3,1,1,3,3
63,179.37744140625,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
64,199.71923828125,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3
65,212.382080078125,3,2,3,2,3,3,3,2,3,2,3,2,3,3,3,3
66,206.05419921875,2,3,3,3,3,2,3,3,3,3,2,3,3,2,2,3
67,86.703125,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3
68,78.638671875,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3
69,73.6796875,3,2,3,3,3,3,3,2,3,3,3,3,2,2,3,3
70,96.887939453125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
71,147.593017578125,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
72,187.0302734375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
73,189.55078125,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
74,192.486572265625,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
75,194.79833984375,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
76,191.04248046875,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3
77,217.53173828125,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3
78,227.976806640625,3,2,3,3,3,3,3,3,3,2,3,3,2,2,3,2
79,99.121826171875,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
80,83.4150390625,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
81,109.9091796875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
82,168.046142578125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
83,185.478515625,3,3,2,3,3,2,2,3,3,3,2,3,3,3,2,3
84,179.94677734375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
85,186.129638671875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
86,186.710205078125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
87,189.102294921875,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3
88,177.042236328125,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
89,180.0869140625,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
90,156.942626953125,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
91,162.660888671875,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3
92,190.156005859375,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3
93,196.635009765625,3,2,3,3,3,3,3,3,1,1,3,2,1,1,3,2
94,194.48583984375,3,3,2,3,3,2,3,3,2,2,3,3,3,3,3,2
95,199.502685546875,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
96,238.6875,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2
97,231.759521484375,1,1,2,2,1,1,2,2,2,2,1,1,2,2,1,1
98,223.12939453125,2,2,1,1,3,3,1,1,1,1,3,2,1,1,2,3
99,213.876708984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,204.55126953125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,197.0712890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,191.37646484375,2,2,1,1,2,2,1,1,2,2,2,2,2,3,3,2
103,181.970947265625,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,2
104,185.425537109375,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1
105,175.257080078125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,164.185546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,154.02490234375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,251.037109375,1,1,3,3,1,1,2,2,1,1,2,2,1,1,2,2
109,246.5244140625,3,2,3,2,2,3,2,3,1,1,2,3,1,1,2,2
110,235.077392578125,3,2,2,2,3,3,3,2,2,3,3,2,2,2,2,2
111,224.455810546875,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1
112,217.3642578125,2,2,2,2,2,3,2,2,3,3,2,2,2,3,3,2
113,208.84326171875,2,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2
114,202.89453125,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,3
115,127.0625,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
116,193.6455078125,1,1,1,1,1,1,1,1,3,2,1,1,3,3,1,1
117,189.324951171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,179.168212890625,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2
119,169.791015625,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1
120,244.435302734375,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2
121,245.6123046875,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
122,240.5458984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,234.1142578125,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2
124,226.1591796875,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1
125,216.245849609375,2,2,3,2,2,2,2,2,1,1,2,2,1,1,2,3
126,158.913818359375,2,2,2,3,2,2,3,3,2,2,3,3,3,3,3,3
127,43.740966796875,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2
128,117.3447265625,3,3,2,2,3,3,2,2,3,3,2,2,3,3,3,2
129,184.78076171875,1,1,1,1,1,1,1,1,2,3,2,2,3,3,2,2
130,184.063232421875,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1
131,174.9365234375,1,1,2,2,1,1,2,2,2,2,1,1,3,2,1,1
132,188.66357421875,3,3,2,2,3,3,2,2,3,3,1,1,3,2,1,1
133,230.98193359375,1,1,2,2,1,1,2,2,2,2,1,1,2,3,1,1
134,231.301513671875,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1
135,211.418701171875,1,1,2,2,1,1,2,3,2,2,3,3,2,3,3,3
136,133.77587890625,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
137,111.376708984375,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
138,62.13720703125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
139,29.505859375,3,3,2,3,3,3,2,3,3,2,3,3,3,2,3,3
140,43.399658203125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
141,122.9619140625,3,3,1,1,3,3,1,1,3,3,3,2,3,3,3,3
142,183.792724609375,2,2,2,2,2,2,2,3,2,2,2,3,3,3,3,3
143,105.8046875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
144,68.837890625,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2
145,88.94287109375,3,3,2,2,3,3,3,3,2,3,3,3,2,2,2,3
146,81.211669921875,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
147,93.8349609375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
148,99.043701171875,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3,2
149,51.78466796875,2,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3
150,105.591796875,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3
151,40.327392578125,2,3,2,3,3,2,2,3,3,3,2,3,2,2,3,3
152,40.656494140625,1,1,2,3,1,1,3,3,3,3,3,2,3,3,3,3
153,51.594482421875,3,2,2,3,3,2,3,3,2,2,3,3,3,3,3,3
154,117.2099609375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
155,125.70751953125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
156,38.2548828125,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3
157,47.6044921875,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3
158,37.715087890625,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
159,62.931884765625,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
160,87.253662109375,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
161,55.00732421875,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3
162,82.6201171875,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
163,41.03173828125,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2
164,53.608642578125,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,2
165,77.361328125,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3
166,67.98095703125,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
167,72.024169921875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
168,47.44189453125,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,3
169,49.679931640625,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
170,50.517333984375,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3
171,84.8583984375,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3
172,87.156005859375,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3
173,51.001220703125,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3
174,53.528564453125,1,1,3,3,1,1,2,3,3,3,3,3,3,3,3,3
175,63.8720703125,2,2,1,1,3,3,1,1,3,3,3,3,3,3,3,3
176,73.117431640625,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3
177,90.07421875,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
178,81.0048828125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
179,66.54248046875,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3
180,23.614013671875,3,2,3,2,2,3,3,2,2,2,3,3,2,2,2,3
181,29.609619140625,3,3,2,3,3,2,3,3,3,3,3,3,2,3,2,2
182,39.9189453125,2,3,3,3,3,3,3,2,3,2,3,3,2,2,3,3
183,89.248779296875,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
184,100.162841796875,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3
185,100.23193359375,3,3,3,2,3,3,2,2,3,3,3,3,3,2,3,3
186,95.898193359375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
187,104.558837890625,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3
188,116.828125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
189,114.211669921875,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3
190,110.456298828125,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
191,103.7412109375,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
192,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,250.803466796875,1,1,1,1,1,1,1,1,1,1,3,3,1,1,2,2
203,242.30810546875,1,1,2,2,1,1,2,2,3,3,3,3,3,3,2,2
204,254.198974609375,1,1,1,1,1,1,1,1,2,2,1,1,3,3,1,1
205,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,254.82861328125,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,3
212,251.09326171875,1,1,1,1,1,1,1,1,2,3,2,3,3,3,3,2
213,246.1083984375,1,1,2,2,1,1,2,2,3,3,3,2,2,3,3,2
214,237.806884765625,2,3,3,2,3,3,3,3,3,3,3,2,3,3,2,3
215,224.923828125,3,3,3,2,3,2,3,2,3,3,2,2,3,2,3,3
216,241.094970703125,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3
217,250.67333984375,1,1,1,1,1,1,1,1,3,3,2,3,3,3,2,3
218,251.604736328125,2,2,1,1,2,3,1,1,3,3,3,2,3,2,2,3
219,253.589599609375,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
220,254.23193359375,1,1,1,1,1,1,1,1,3,2,2,2,3,3,2,3
221,252.037353515625,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3
222,249.3974609375,2,2,2,2,3,3,3,3,3,2,2,3,3,3,2,2
223,244.760009765625,3,2,3,2,3,3,3,3,1,1,3,2,1,1,2,3
224,239.850341796875,3,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2
225,235.088134765625,2,3,3,3,3,2,2,3,1,1,3,3,1,1,3,3
226,239.28125,3,3,3,3,3,3,2,2,3,3,3,2,3,3,2,2
227,240.9111328125,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
228,234.819580078125,2,2,3,3,3,3,3,3,1,1,3,3,1,1,3,3
229,235.833251953125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
230,239.711181640625,3,2,3,3,2,2,2,3,3,2,3,3,3,3,3,3
231,234.621337890625,3,2,3,2,3,3,3,3,3,3,2,2,3,2,2,3
232,229.622802734375,3,3,3,2,2,3,3,2,2,2,2,2,2,3,2,2
233,223.1201171875,2,3,3,3,2,2,2,2,1,1,2,2,1,1,2,2
234,218.135986328125,2,3,2,2,3,2,2,2,2,3,2,2,2,3,2,3
235,226.998291015625,3,3,3,3,2,2,3,2,3,3,2,2,3,3,3,3
236,221.06591796875,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3,3
237,214.87646484375,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
238,222.538330078125,3,2,3,3,2,2,3,3,3,3,3,3,2,3,3,3
239,209.869384765625,3,2,1,1,3,3,1,1,3,3,3,3,3,3,3,3
240,233.09716796875,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,3
241,228.360595703125,2,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3
242,219.986083984375,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2
243,213.943603515625,2,2,1,1,3,3,1,1,3,3,3,3,3,3,3,3
244,194.705810546875,1,1,1,1,1,1,1,1,3,3,3,2,3,3,3,3
245,193.880126953125,1,1,2,2,1,1,3,2,2,3,3,3,3,3,3,3
246,188.73583984375,2,2,2,2,3,3,3,2,3,3,2,3,3,3,2,3
247,166.31591796875,3,3,3,2,3,3,3,2,2,3,2,3,3,3,3,3
248,159.7822265625,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3
249,155.395751953125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
250,160.454833984375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
251,153.510986328125,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
252,228.62451171875,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3
253,233.936767578125,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
254,230.871826171875,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3
255,220.975830078125,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3
256,210.207763671875,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
257,157.666748046875,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
258,134.994873046875,3,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2
259,135.49755859375,3,2,2,3,2,2,3,3,3,3,3,2,3,3,3,3
260,129.596435546875,3,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3
261,116.536376953125,3,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3
262,131.165283203125,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
263,149.1904296875,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3
264,234.20361328125,2,3,3,3,3,3,3,2,1,1,3,2,1,1,3,3
265,239.41796875,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3
266,241.852783203125,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
267,243.232421875,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3
268,233.848876953125,3,3,2,3,3,3,3,3,2,2,2,3,3,3,3,3
269,217.15869140625,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
270,197.551025390625,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2
271,192.887939453125,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2
272,182.96240234375,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3
273,141.785400390625,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
274,163.7548828125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
275,177.797607421875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
276,231.541015625,2,2,3,3,2,3,3,3,3,3,2,3,3,3,3,2
277,240.558349609375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
278,234.694580078125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
279,227.193115234375,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3
280,216.85009765625,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3
281,234.573486328125,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
282,234.46923828125,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
283,230.068359375,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3
284,227.982666015625,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3
285,193.93359375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
286,134.76513671875,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
287,154.664794921875,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
288,153.295166015625,1,1,3,3,1,1,2,3,2,3,3,3,3,3,3,3
289,146.78857421875,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
290,187.984130859375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
291,184.358154296875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
292,168.84716796875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
293,210.51025390625,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3
294,195.864501953125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
295,184.647705078125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
296,167.8310546875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
297,159.176513671875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
298,178.333984375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
299,191.921875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
300,153.27587890625,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3
301,166.339111328125,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2
302,176.7900390625,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
303,192.57861328125,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
304,203.157958984375,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
305,223.425537109375,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
306,199.922119140625,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
307,198.95068359375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
308,183.808349609375,3,3,2,3,3,3,3,3,3,2,3,2,3,3,3,3
309,187.776123046875,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3
310,189.233642578125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
311,188.870361328125,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
312,169.561767578125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
313,174.98046875,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
314,185.553466796875,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
315,193.1044921875,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
316,208.707763671875,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2
317,201.791259765625,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3
318,178.68115234375,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
319,184.655029296875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
320,190.187744140625,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2
321,177.165771484375,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3
322,178.552490234375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
323,157.706787109375,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3
324,184.2333984375,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
325,167.413818359375,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
326,196.166748046875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
327,184.8203125,3,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3
328,180.688232421875,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2
329,189.18798828125,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
330,175.740966796875,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3
331,160.7861328125,1,1,3,3,1,1,2,3,3,3,3,3,2,3,3,3
332,173.38623046875,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
333,156.72119140625,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3
334,147.786376953125,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
335,156.181396484375,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
336,150.677978515625,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3
